ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.9726027397260273,6.534246575342466,12.068493150684931,1.2818287742783108,3.192809523214526,5.289764650546588,72,72,-1.6111111111111112,0.041666666666666664,0.8055555555555556,0.1527777777777778,-4.0,-1.0,1.0,1.6878286145514791,73,task-04:4,4,task-04.csv,4,ast
2.982456140350877,6.456140350877193,12.12280701754386,1.235316964370803,3.4339388434131486,6.177406982944641,113,113,-1.5044247787610618,0.035398230088495575,0.7610619469026548,0.20353982300884957,-5.0,-1.0,1.0,1.9192729717049075,114,task-04:5,5,task-04.csv,4,ast
2.973333333333333,6.466666666666667,12.093333333333334,1.254042352642933,3.522625283632775,6.295338663558053,74,74,-1.5405405405405406,0.04054054054054054,0.7297297297297297,0.22972972972972974,-5.0,-1.0,1.0,2.0214337244665033,75,task-04:6,6,task-04.csv,4,ast
2.977272727272727,6.5227272727272725,12.363636363636363,1.270086546149806,3.4409871493487842,6.049383548950591,87,87,-1.5862068965517242,0.022988505747126436,0.7816091954022989,0.19540229885057472,-4.0,-1.0,1.0,1.8603653339020865,88,task-04:7,7,task-04.csv,4,ast
2.9726027397260273,6.342465753424658,11.767123287671232,1.2047008693655152,3.2864152852172173,5.739840453954704,72,72,-1.4166666666666667,0.05555555555555555,0.7361111111111112,0.20833333333333334,-4.0,-1.0,1.0,1.7539637649874324,73,task-04:8,8,task-04.csv,4,ast
2.9696969696969697,6.454545454545454,11.878787878787879,1.2549260145968884,3.1774862285747782,5.270027173511542,65,65,-1.5384615384615385,0.046153846153846156,0.7846153846153846,0.16923076923076924,-4.0,-1.0,1.0,1.7013743139629849,66,task-04:9,9,task-04.csv,4,ast
2.9775280898876404,6.370786516853933,12.0561797752809,1.2083745986072667,3.5264076716659543,6.63216464495516,88,88,-1.4318181818181819,0.07954545454545454,0.7045454545454546,0.2159090909090909,-5.0,-1.0,1.0,1.8997335611358201,89,task-04:10,10,task-04.csv,4,ast
2.982608695652174,6.373913043478261,11.660869565217391,1.2013225226402136,3.179994174359491,5.676629368118617,114,114,-1.4210526315789473,0.043859649122807015,0.7719298245614035,0.18421052631578946,-4.0,-1.0,1.0,1.6537821450223815,115,task-04:11,11,task-04.csv,4,ast
2.98,6.42,12.04,1.2245815611873305,3.3946428383557525,6.136644033997736,99,99,-1.4747474747474747,0.050505050505050504,0.7474747474747475,0.20202020202020202,-4.0,-1.0,1.0,1.8221057545256372,100,task-04:12,12,task-04.csv,4,ast
2.975,6.475,12.3,1.2547410091329605,3.5706266956936283,6.615134163416491,79,79,-1.5443037974683544,0.02531645569620253,0.759493670886076,0.21518987341772153,-5.0,-1.0,1.0,1.9277944921359305,80,task-04:13,13,task-04.csv,4,ast
2.980952380952381,6.466666666666667,11.99047619047619,1.2419719526083348,3.329712318952514,6.1093141039614,104,104,-1.5192307692307692,0.028846153846153848,0.7884615384615384,0.18269230769230768,-4.0,-1.0,1.0,1.7649404502417094,105,task-04:14,14,task-04.csv,4,ast
2.953488372093023,6.488372093023256,12.30232558139535,1.2931570952984042,3.5264587482922933,5.837070321703207,42,42,-1.619047619047619,0.047619047619047616,0.7380952380952381,0.21428571428571427,-4.949999999999999,-1.0,1.0,2.0113059125659882,43,task-04:15,15,task-04.csv,4,ast
2.9813084112149535,6.514018691588785,12.271028037383177,1.2603315719435353,3.383203387106535,5.930390750798621,106,106,-1.5660377358490567,0.03773584905660377,0.7830188679245284,0.1792452830188679,-4.0,-1.0,1.0,1.8120085172262668,107,task-04:16,16,task-04.csv,4,ast
2.96875,6.3125,12.0625,1.1985505569228192,3.6438089617871023,7.033124750066644,63,63,-1.3968253968253967,0.047619047619047616,0.6825396825396826,0.2698412698412698,-5.0,-1.0,1.0,2.0200556533248295,64,task-04:17,17,task-04.csv,4,ast
2.981818181818182,6.454545454545454,12.0,1.235695006366996,3.323843240030661,5.986348105177616,109,109,-1.5045871559633028,0.027522935779816515,0.7798165137614679,0.1926605504587156,-4.0,-1.0,1.0,1.7745595303645092,110,task-04:18,18,task-04.csv,4,ast
2.977777777777778,6.444444444444445,12.2,1.2380789579719218,3.4322364303148243,6.033609570103492,89,89,-1.5056179775280898,0.033707865168539325,0.7528089887640449,0.21348314606741572,-4.0,-1.0,1.0,1.8730711157403044,90,task-04:19,19,task-04.csv,4,ast
2.9914529914529915,6.7094017094017095,12.94017094017094,1.3204229217317613,3.8175479422819314,8.825749621478952,233,233,-1.7339055793991416,0.05150214592274678,0.7639484978540773,0.18454935622317598,-6.0,-1.0,1.0,2.027178154493262,234,task-05:0,0,task-05.csv,5,ast
2.986206896551724,7.041379310344827,14.282758620689656,1.4478817197669138,4.022138498050878,7.482119788398401,144,144,-2.0833333333333335,0.25,0.6805555555555556,0.06944444444444445,-6.0,-2.0,1.0,2.2438186696393765,145,task-05:1,1,task-05.csv,5,ast
2.982608695652174,6.147826086956521,11.8,1.1032174975411273,3.6647402856216975,7.413501197140255,114,114,-1.1929824561403508,0.008771929824561403,0.6754385964912281,0.3157894736842105,-4.0,-1.0,1.0,1.9370677468360686,115,task-05:2,2,task-05.csv,5,ast
2.988826815642458,6.396648044692737,11.670391061452515,1.2005065356232831,3.123919244468375,6.272914673920634,178,178,-1.4269662921348314,0.0,0.8033707865168539,0.19662921348314608,-4.0,-1.0,1.0,1.6172360972874054,179,task-05:3,3,task-05.csv,5,ast
2.982456140350877,7.754385964912281,14.403508771929825,1.6805515810284979,4.358016214370398,8.872112130345954,113,113,-2.814159292035398,0.0,0.831858407079646,0.168141592920354,-7.3999999999999995,-4.0,1.0,2.612253875661635,114,task-05:4,4,task-05.csv,5,ast
2.9893048128342246,6.689839572192513,12.62566844919786,1.3162469121814129,3.6534436873177554,8.167955121285626,186,186,-1.7204301075268817,0.053763440860215055,0.7688172043010753,0.1774193548387097,-5.0,-1.0,1.0,1.9530268286693193,187,task-05:5,5,task-05.csv,5,ast
2.980952380952381,6.542857142857143,12.333333333333334,1.2722754447273734,3.4476453563847547,7.035510834218983,104,104,-1.5961538461538463,0.0,0.8076923076923077,0.19230769230769232,-4.85,-1.0,1.0,1.773302171575949,105,task-05:6,6,task-05.csv,5,ast
2.98974358974359,6.415384615384616,12.015384615384615,1.2067746527247365,3.5194360315647355,8.497647893615378,194,194,-1.443298969072165,0.0,0.7938144329896907,0.20618556701030927,-4.0,-1.0,1.0,1.8104454778156858,195,task-05:7,7,task-05.csv,5,ast
2.9906103286384975,6.624413145539906,12.774647887323944,1.2891406692280087,3.791486046346393,8.558877306315429,212,212,-1.650943396226415,0.04716981132075472,0.7547169811320755,0.19811320754716982,-6.0,-1.0,1.0,2.007262534794207,213,task-05:8,8,task-05.csv,5,ast
2.98019801980198,6.564356435643564,11.772277227722773,1.2818627999968955,2.943076593184362,5.707180101873779,100,100,-1.62,0.01,0.87,0.12,-4.0,-1.0,1.0,1.5217095649301808,101,task-05:9,9,task-05.csv,5,ast
2.9909090909090907,8.081818181818182,16.01818181818182,1.765814025755181,5.153342813044785,14.527392194297715,219,219,-3.1141552511415527,0.0091324200913242,0.91324200913242,0.0776255707762557,-7.0,-3.0,1.0,2.421503852444578,220,task-05:10,10,task-05.csv,5,ast
